"data_source","signal","geo_value","time_value","source","geo_type","time_type","issue","lag","missing_value","missing_stderr","missing_sample_size","value","stderr","sample_size"
"jhu-csse","deaths_incidence_num","us",2020-08-11,"jhu-csse","nation","day",2023-03-03,934,0,5,5,1080,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-12,"jhu-csse","nation","day",2023-03-03,933,0,5,5,1504,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-13,"jhu-csse","nation","day",2023-03-03,932,0,5,5,1028,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-14,"jhu-csse","nation","day",2023-03-03,931,0,5,5,1303,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-15,"jhu-csse","nation","day",2023-03-03,930,0,5,5,1043,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-16,"jhu-csse","nation","day",2023-03-03,929,0,5,5,611,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-17,"jhu-csse","nation","day",2023-03-03,928,0,5,5,479,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-18,"jhu-csse","nation","day",2023-03-03,927,0,5,5,1229,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-19,"jhu-csse","nation","day",2023-03-03,926,0,5,5,679,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-20,"jhu-csse","nation","day",2023-03-03,925,0,5,5,1098,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-21,"jhu-csse","nation","day",2023-03-03,924,0,5,5,1097,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-22,"jhu-csse","nation","day",2023-03-03,923,0,5,5,962,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-23,"jhu-csse","nation","day",2023-03-03,922,0,5,5,501,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-24,"jhu-csse","nation","day",2023-03-03,921,0,5,5,431,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-25,"jhu-csse","nation","day",2023-03-09,926,0,5,5,1218,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-26,"jhu-csse","nation","day",2023-03-03,919,0,5,5,1153,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-27,"jhu-csse","nation","day",2023-03-03,918,0,5,5,1108,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-28,"jhu-csse","nation","day",2023-03-03,917,0,5,5,916,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-29,"jhu-csse","nation","day",2023-03-03,916,0,5,5,963,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-30,"jhu-csse","nation","day",2023-03-03,915,0,5,5,439,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-31,"jhu-csse","nation","day",2023-03-03,914,0,5,5,485,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-01,"jhu-csse","nation","day",2023-03-03,913,0,5,5,1061,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-02,"jhu-csse","nation","day",2023-03-09,918,0,5,5,1072,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-03,"jhu-csse","nation","day",2023-03-03,911,0,5,5,1024,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-04,"jhu-csse","nation","day",2023-03-03,910,0,5,5,950,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-05,"jhu-csse","nation","day",2023-03-03,909,0,5,5,791,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-06,"jhu-csse","nation","day",2023-03-03,908,0,5,5,438,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-07,"jhu-csse","nation","day",2023-03-03,907,0,5,5,323,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-08,"jhu-csse","nation","day",2023-03-03,906,0,5,5,469,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-09,"jhu-csse","nation","day",2023-03-03,905,0,5,5,1100,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-10,"jhu-csse","nation","day",2023-03-03,904,0,5,5,909,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-11,"jhu-csse","nation","day",2023-03-03,903,0,5,5,1142,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-12,"jhu-csse","nation","day",2023-03-09,908,0,5,5,738,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-13,"jhu-csse","nation","day",2023-03-09,907,0,5,5,392,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-14,"jhu-csse","nation","day",2023-03-03,900,0,5,5,423,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-15,"jhu-csse","nation","day",2023-03-09,905,0,5,5,1185,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-16,"jhu-csse","nation","day",2023-03-03,898,0,5,5,930,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-17,"jhu-csse","nation","day",2023-03-09,903,0,5,5,846,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-18,"jhu-csse","nation","day",2023-03-09,902,0,5,5,953,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-19,"jhu-csse","nation","day",2023-03-03,895,0,5,5,665,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-20,"jhu-csse","nation","day",2023-03-09,900,0,5,5,267,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-21,"jhu-csse","nation","day",2023-03-09,899,0,5,5,411,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-22,"jhu-csse","nation","day",2023-03-09,898,0,5,5,1022,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-23,"jhu-csse","nation","day",2023-03-09,897,0,5,5,1052,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-24,"jhu-csse","nation","day",2023-03-09,896,0,5,5,886,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-25,"jhu-csse","nation","day",2023-03-09,895,0,5,5,913,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-26,"jhu-csse","nation","day",2023-03-09,894,0,5,5,763,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-27,"jhu-csse","nation","day",2023-03-09,893,0,5,5,304,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-28,"jhu-csse","nation","day",2023-03-09,892,0,5,5,334,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-29,"jhu-csse","nation","day",2023-03-09,891,0,5,5,893,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-09-30,"jhu-csse","nation","day",2023-03-03,884,0,5,5,905,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-01,"jhu-csse","nation","day",2023-03-03,883,0,5,5,895,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-02,"jhu-csse","nation","day",2023-03-09,888,0,5,5,888,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-03,"jhu-csse","nation","day",2023-03-03,881,0,5,5,672,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-04,"jhu-csse","nation","day",2023-03-09,886,0,5,5,370,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-05,"jhu-csse","nation","day",2023-03-03,879,0,5,5,475,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-06,"jhu-csse","nation","day",2023-03-03,878,0,5,5,687,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-07,"jhu-csse","nation","day",2023-03-09,883,0,5,5,901,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-08,"jhu-csse","nation","day",2023-03-03,876,0,5,5,976,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-09,"jhu-csse","nation","day",2023-03-09,881,0,5,5,963,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-10,"jhu-csse","nation","day",2023-03-03,874,0,5,5,648,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-11,"jhu-csse","nation","day",2023-03-03,873,0,5,5,463,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-12,"jhu-csse","nation","day",2023-03-03,872,0,5,5,393,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-13,"jhu-csse","nation","day",2023-03-09,877,0,5,5,732,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-10-14,"jhu-csse","nation","day",2023-03-03,870,0,5,5,988,NA,NA
